,Status,Class,Type,Full Baths,HBA,Beds,Apx SQFT,Apx ACR,Sale Year,Sale Price,TotalBaths,PPSF,BathsPerBed,SqftPerAcre,BedsPerSqft
126,Sold,Residential,Rural Residential,2.0,0.0,3.0,1304.0,1.2,2022,132448.63,2.0,101.57103527607363,0.6666666666666666,1077.6859504132233,0.0023005958543262706
127,Sold,Residential,Rural Residential,2.0,0.0,2.0,1700.0,0.38,2021,142712.177,2.0,83.9483394117647,1.0,4358.974358974358,0.0011764636678607773
128,Sold,Residential,Rural Residential,1.0,0.0,2.0,768.0,0.25,2023,127762.295,1.0,166.35715494791665,0.5,2953.846153846154,0.002604132758688038
129,Sold,Residential,Rural Residential,1.0,0.0,2.0,1128.0,1.1,2024,123417.722,1.0,109.41287411347517,0.5,1016.2162162162161,0.0017730339270041933
130,Sold,Residential,Rural Residential,2.0,0.0,4.0,2128.0,1.81,2022,133561.644,2.0,62.76393045112782,0.5,1169.2307692307693,0.0018796904149886511
131,Sold,Residential,Rural Residential,1.0,0.0,2.0,1044.0,0.24,2024,123417.722,1.0,118.21620881226053,0.5,4176.0,0.0019156904627350313
132,Sold,Residential,Rural Residential,1.0,0.0,3.0,1260.0,5.0,2020,151792.636,1.0,120.47034603174603,0.3333333333333333,251.49700598802397,0.0023809334846548835
133,Sold,Residential,Rural Residential,2.0,0.0,3.0,1696.0,0.79,2016,164522.822,2.0,97.0063808962264,0.6666666666666666,2120.0,0.0017688574949440157
134,Sold,Residential,Rural Residential,2.0,0.0,3.0,1612.0,2.25,2016,165871.369,2.0,102.89787158808933,0.6666666666666666,713.2743362831859,0.0018610306387677497
135,Sold,Residential,Rural Residential,1.0,0.0,3.0,1341.0,0.63,2024,127531.646,1.0,95.1018985831469,0.3333333333333333,2095.3125,0.0022371197828502396
136,Sold,Residential,Rural Residential,2.0,0.0,2.0,1340.0,0.2,2023,132290.984,2.0,98.72461492537313,1.0,6380.952380952381,0.0014925261751777973
137,Sold,Residential,Rural Residential,2.0,0.0,3.0,1566.0,0.48,2016,167894.191,2.0,107.2121270753512,0.6666666666666666,3195.918367346939,0.0019156965792044751
138,Sold,Residential,Rural Residential,1.0,0.0,3.0,1124.0,0.55,2023,133090.164,1.0,118.40761921708184,0.3333333333333333,2007.1428571428569,0.002669015400218859
139,Sold,Residential,Mobile/Mod/Mfg w/Property,2.0,0.0,3.0,2560.0,5.61,2021,149787.823,2.0,58.510868359375,0.6666666666666666,455.51601423487546,0.0011718704223811624
140,Sold,Residential,Rural Residential,2.0,0.0,4.0,1480.0,0.19,2022,139126.712,2.0,94.00453513513513,0.5,7400.0,0.0027026844413213427
141,Sold,Residential,Rural Residential,2.0,0.0,3.0,1988.0,0.31,2022,139126.712,2.0,69.9832555331992,0.6666666666666666,6212.5,0.0015090467351773884
142,Sold,Residential,Rural Residential,2.0,1.0,3.0,2552.0,5.0,2019,158691.406,2.5,62.18315282131661,0.8333333333333334,509.3812375249501,0.001175543982978123
143,Sold,Residential,Rural Residential,2.0,0.0,3.0,1265.0,10.0,2021,149907.749,2.0,118.50414940711464,0.6666666666666666,126.37362637362638,0.002371522754760832
144,Sold,Residential,Rural Residential,3.0,0.0,4.0,2100.0,1.0,2025,125000.0,3.0,59.523809523809526,0.75,2079.207920792079,0.0019047528345103116
145,Sold,Residential,Rural Residential,1.0,0.0,2.0,966.0,14.0,2019,159960.938,1.0,165.59103312629398,0.5,68.95074946466809,0.002070371942319438
146,Sold,Residential,Rural Residential,2.0,1.0,3.0,1600.0,0.42,2019,159960.938,2.5,99.97558624999999,0.8333333333333334,3720.93023255814,0.0018749882813232418
147,Sold,Residential,Rural Residential,2.0,0.0,2.0,1380.0,0.51,2022,140239.726,2.0,101.62298985507246,1.0,2653.846153846154,0.0014492648603995624
